General information :

File	Capture018.ptw
Frame	854
Total frames	1484
time	15:42:42.177
Interval start	15:42:25.097
Interval end	15:42:54.777
Format	160	128


Timing-graph Data :

(time)	1 Mean  (°C)
15:42:33.438	2567.04
15:42:33.457	2566.64
15:42:33.478	2567.35
15:42:33.497	2570.05
15:42:33.518	2569.12
15:42:33.538	2570.30
15:42:33.557	2571.08
15:42:33.578	2572.76
15:42:33.597	2572.47
15:42:33.618	2573.10
15:42:33.637	2573.11
15:42:33.658	2575.56
15:42:33.677	2576.59
15:42:33.698	2578.02
15:42:33.718	2578.47
15:42:33.737	2577.34
15:42:33.758	2580.13
15:42:33.777	2579.04
15:42:33.798	2583.07
15:42:33.817	2580.25
15:42:33.838	2583.04
15:42:33.858	2582.53
15:42:33.878	2586.34
15:42:33.898	2583.34
15:42:33.917	2587.04
15:42:33.938	2585.75
15:42:33.957	2589.50
15:42:33.978	2587.98
15:42:33.997	2590.06
15:42:34.018	2589.73
15:42:34.038	2590.57
15:42:34.057	2590.93
15:42:34.078	2593.39
15:42:34.097	2594.65
15:42:34.118	2594.77
15:42:34.137	2594.73
15:42:34.158	2595.26
15:42:34.177	2596.05
15:42:34.198	2598.45
15:42:34.218	2596.28
15:42:34.237	2599.44
15:42:34.258	2598.91
15:42:34.277	2600.56
15:42:34.298	2597.34
15:42:34.317	2602.63
15:42:34.338	2600.96
15:42:34.358	2603.90
15:42:34.378	2601.74
15:42:34.398	2604.49
15:42:34.417	2602.62
15:42:34.438	2606.43
15:42:34.457	2603.47
15:42:34.478	2607.26
15:42:34.497	2605.69
15:42:34.518	2609.06
15:42:34.538	2609.12
15:42:34.557	2608.97
15:42:34.578	2608.30
15:42:34.597	2609.85
15:42:34.618	2610.72
15:42:34.637	2612.33
15:42:34.658	2613.44
15:42:34.677	2613.81
15:42:34.698	2614.22
15:42:34.718	2613.72
15:42:34.737	2614.45
15:42:34.758	2616.21
15:42:34.777	2616.76
15:42:34.798	2616.62
15:42:34.817	2618.28
15:42:34.838	2618.46
15:42:34.858	2618.58
15:42:34.878	2620.26
15:42:34.898	2619.92
15:42:34.917	2622.16
15:42:34.938	2621.29
15:42:34.957	2621.91
15:42:34.978	2622.32
15:42:34.997	2624.00
15:42:35.018	2624.47
15:42:35.038	2623.62
15:42:35.057	2625.66
15:42:35.078	2625.91
