(time)	1 Max  (°C)	1 Mean  (°C)
16:48:12.694	1436.26	1401.93
16:48:12.714	1439.29	1402.08
16:48:12.735	1435.04	1400.23
16:48:12.754	1438.08	1399.93
16:48:12.774	1435.65	1400.38
16:48:12.794	1433.82	1398.14
16:48:12.814	1432.00	1397.86
16:48:12.834	1429.56	1393.96
16:48:12.854	1428.95	1395.27
16:48:12.875	1430.17	1397.70
16:48:12.894	1431.39	1398.31
16:48:12.915	1433.82	1401.37
16:48:12.934	1426.51	1396.67
16:48:12.954	1427.12	1397.34
16:48:12.974	1428.34	1398.06
16:48:12.994	1436.26	1403.76
16:48:13.014	1433.22	1402.61
16:48:13.034	1430.78	1399.91
16:48:13.055	1428.34	1398.03
16:48:13.074	1433.22	1403.61
16:48:13.095	1435.65	1406.18
16:48:13.114	1433.82	1403.90
16:48:13.134	1428.95	1403.14
16:48:13.154	1428.95	1402.63
16:48:13.174	1421.01	1399.35
16:48:13.194	1431.39	1405.09
16:48:13.214	1436.26	1408.36
16:48:13.235	1440.51	1412.36
16:48:13.254	1443.54	1412.95
16:48:13.274	1445.96	1414.30
16:48:13.294	1445.36	1415.16
16:48:13.314	1450.19	1418.28
16:48:13.334	1452.00	1420.46
16:48:13.354	1456.23	1420.75
16:48:13.375	1450.80	1420.10
16:48:13.394	1453.21	1421.65
16:48:13.415	1441.12	1408.16
16:48:13.434	1429.56	1399.38
16:48:13.454	1424.68	1395.03
16:48:13.474	1425.90	1391.27
16:48:13.494	1424.06	1385.78
16:48:13.514	1428.34	1397.04
16:48:13.534	1433.22	1407.11
16:48:13.555	1436.87	1410.88
16:48:13.574	1416.10	1388.25
16:48:13.595	1416.72	1382.42
16:48:13.614	1408.72	1376.44
16:48:13.634	1413.65	1381.76
16:48:13.654	1424.68	1393.97
16:48:13.674	1417.33	1382.90
16:48:13.694	1416.10	1379.42
16:48:13.714	1420.39	1385.79
16:48:13.735	1419.17	1382.20
16:48:13.754	1416.72	1376.85
16:48:13.774	1414.26	1376.50
16:48:13.794	1415.49	1374.40
16:48:13.814	1414.87	1374.09
16:48:13.834	1401.94	1365.24
16:48:13.854	1405.64	1361.89
16:48:13.875	1407.49	1363.48
16:48:13.894	1406.88	1366.17
16:48:13.915	1413.03	1364.88
16:48:13.934	1407.49	1359.78
16:48:13.954	1408.11	1359.31
16:48:13.974	1411.80	1368.23
16:48:13.994	1417.33	1371.11
16:48:14.014	1419.78	1376.85
16:48:14.034	1425.90	1385.35
16:48:14.055	1426.51	1383.58
16:48:14.074	1424.06	1383.79
16:48:14.095	1427.12	1387.44
16:48:14.114	1434.43	1391.06
