(time)	1 Mean  (°C)
12:21:41.902	1078.75
12:21:41.921	1079.45
12:21:41.942	1079.92
12:21:41.961	1080.65
12:21:41.981	1081.33
12:21:42.002	1081.36
12:21:42.021	1082.46
12:21:42.042	1082.58
12:21:42.061	1084.06
12:21:42.082	1084.88
12:21:42.101	1086.22
12:21:42.122	1085.69
12:21:42.141	1087.08
12:21:42.161	1086.82
12:21:42.182	1088.20
12:21:42.201	1088.20
12:21:42.222	1089.17
12:21:42.241	1090.18
12:21:42.262	1090.58
12:21:42.281	1090.72
12:21:42.302	1091.32
12:21:42.322	1092.17
12:21:42.341	1092.52
12:21:42.362	1093.81
12:21:42.381	1093.85
12:21:42.402	1094.88
12:21:42.421	1095.50
12:21:42.442	1096.20
12:21:42.461	1096.43
12:21:42.481	1096.95
12:21:42.502	1097.56
12:21:42.521	1098.46
12:21:42.542	1098.93
12:21:42.561	1099.30
12:21:42.582	1100.29
12:21:42.601	1100.67
12:21:42.622	1101.84
12:21:42.641	1101.21
12:21:42.661	1103.34
12:21:42.682	1103.14
12:21:42.701	1104.17
12:21:42.722	1104.19
12:21:42.741	1105.12
12:21:42.762	1104.94
12:21:42.781	1106.26
12:21:42.802	1106.12
12:21:42.822	1107.14
12:21:42.841	1107.13
12:21:42.862	1108.04
12:21:42.881	1108.10
12:21:42.902	1108.58
12:21:42.921	1108.90
12:21:42.942	1109.47
12:21:42.961	1110.46
12:21:42.981	1111.14
12:21:43.002	1111.10
12:21:43.021	1111.67
12:21:43.042	1112.15
12:21:43.061	1112.82
12:21:43.082	1113.11
12:21:43.101	1114.16
12:21:43.122	1114.19
12:21:43.141	1115.10
12:21:43.161	1115.17
12:21:43.182	1116.29
12:21:43.201	1115.41
12:21:43.222	1116.97
12:21:43.241	1116.62
12:21:43.262	1118.29
12:21:43.281	1117.58
12:21:43.302	1118.77
12:21:43.322	1118.90
12:21:43.341	1120.66
12:21:43.362	1120.43
12:21:43.381	1121.11
12:21:43.402	1120.88
12:21:43.421	1122.55
12:21:43.442	1122.53
12:21:43.461	1123.51
12:21:43.481	1124.07
12:21:43.502	1125.05
12:21:43.521	1125.89
12:21:43.542	1126.78
12:21:43.561	1127.90
12:21:43.582	1127.80
12:21:43.601	1129.27
12:21:43.622	1130.04
12:21:43.641	1130.58
12:21:43.661	1131.59
12:21:43.682	1131.83
12:21:43.701	1133.32
12:21:43.722	1133.29
12:21:43.741	1134.97
12:21:43.762	1135.32
12:21:43.781	1136.54
12:21:43.802	1136.81
12:21:43.822	1137.87
12:21:43.841	1138.83
12:21:43.862	1140.17
12:21:43.881	1140.59
12:21:43.902	1141.08
12:21:43.921	1142.30
12:21:43.942	1142.51
12:21:43.961	1143.83
12:21:43.981	1143.81
12:21:44.002	1145.04
12:21:44.021	1145.95
12:21:44.042	1146.57
12:21:44.061	1147.16
12:21:44.082	1148.21
12:21:44.101	1147.89
12:21:44.122	1149.28
12:21:44.141	1149.27
12:21:44.161	1151.34
12:21:44.182	1151.39
12:21:44.201	1152.29
12:21:44.222	1152.62
12:21:44.241	1153.28
12:21:44.262	1153.64
12:21:44.281	1155.27
12:21:44.302	1155.78
12:21:44.322	1156.16
12:21:44.341	1157.62
12:21:44.362	1158.12
12:21:44.381	1159.84
12:21:44.402	1160.13
12:21:44.421	1161.62
12:21:44.442	1161.81
12:21:44.461	1163.22
12:21:44.481	1163.50
12:21:44.502	1164.00
12:21:44.521	1164.21
12:21:44.542	1165.01
12:21:44.561	1165.55
12:21:44.582	1166.26
12:21:44.601	1167.52
12:21:44.622	1167.36
12:21:44.641	1167.95
12:21:44.661	1168.51
12:21:44.682	1169.02
12:21:44.701	1169.93
12:21:44.722	1170.57
12:21:44.741	1170.83
12:21:44.762	1171.04
12:21:44.781	1171.70
12:21:44.802	1171.37
12:21:44.822	1172.26
12:21:44.841	1172.33
12:21:44.862	1172.94
12:21:44.881	1172.92
12:21:44.902	1173.29
12:21:44.921	1173.43
12:21:44.942	1173.75
12:21:44.961	1173.57
12:21:44.981	1174.19
12:21:45.002	1173.28
12:21:45.021	1174.46
12:21:45.042	1174.37
12:21:45.061	1173.91
12:21:45.082	1173.68
12:21:45.101	1174.58
12:21:45.122	1175.05
12:21:45.141	1174.62
12:21:45.161	1175.82
12:21:45.182	1175.51
12:21:45.201	1176.83
12:21:45.222	1176.40
12:21:45.241	1178.09
12:21:45.262	1177.26
12:21:45.281	1178.39
12:21:45.302	1178.04
12:21:45.322	1179.35
12:21:45.341	1178.79
12:21:45.362	1179.53
12:21:45.381	1179.50
12:21:45.402	1180.29
12:21:45.421	1180.39
12:21:45.442	1180.64
12:21:45.461	1181.00
12:21:45.481	1182.00
12:21:45.502	1183.11
12:21:45.521	1182.88
12:21:45.542	1183.15
12:21:45.561	1183.54
12:21:45.582	1182.98
12:21:45.601	1182.74
12:21:45.622	1182.06
12:21:45.641	1182.87
12:21:45.661	1182.80
12:21:45.682	1183.25
12:21:45.701	1182.55
12:21:45.722	1184.15
12:21:45.741	1183.42
12:21:45.762	1184.56
12:21:45.781	1183.79
12:21:45.802	1184.69
12:21:45.822	1183.97
12:21:45.841	1185.30
12:21:45.862	1185.51
12:21:45.881	1186.14
12:21:45.902	1185.66
12:21:45.921	1186.10
12:21:45.942	1186.34
12:21:45.961	1186.84
12:21:45.981	1186.70
12:21:46.002	1186.87
12:21:46.021	1186.17
12:21:46.042	1184.03
12:21:46.061	1184.83
12:21:46.082	1184.25
12:21:46.101	1185.24
12:21:46.122	1182.54
12:21:46.141	1181.10
12:21:46.161	1176.37
12:21:46.182	1171.75
12:21:46.201	1162.22
12:21:46.222	1152.96
12:21:46.241	1143.35
12:21:46.262	1133.21
12:21:46.281	1122.02
12:21:46.302	1111.83
12:21:46.322	1102.25
12:21:46.341	1092.09
12:21:46.362	1083.47
12:21:46.381	1074.11
12:21:46.402	1066.66
12:21:46.421	1058.32
12:21:46.442	1051.41
12:21:46.461	1043.15
12:21:46.481	1036.59
12:21:46.502	1029.94
12:21:46.521	1022.77
12:21:46.542	1016.81
12:21:46.561	1010.26
12:21:46.582	1004.74
12:21:46.601	998.69
12:21:46.622	993.17
12:21:46.641	987.06
12:21:46.661	982.47
12:21:46.682	976.32
12:21:46.701	972.10
12:21:46.722	966.62
12:21:46.741	962.34
12:21:46.762	956.75
12:21:46.781	952.13
12:21:46.802	948.07
12:21:46.822	943.14
12:21:46.841	939.00
12:21:46.862	934.07
12:21:46.881	930.54
12:21:46.902	925.93
12:21:46.921	922.31
12:21:46.942	917.48
12:21:46.961	914.48
12:21:46.981	909.85
12:21:47.002	906.93
12:21:47.021	902.11
12:21:47.042	899.24
12:21:47.061	895.10
12:21:47.082	891.69
12:21:47.101	887.92
