Name (PREF Unit):|TargetCalTempDiffCorr (degC)|
Timestamp|Date/Time|Value
6972093842352011912|2021-06-10 11:24:56.930000|0.031189
6972093846646979208|2021-06-10 11:24:57.930000|0.0324402
6972093850941946504|2021-06-10 11:24:58.930000|0.0398865
6972093855236913800|2021-06-10 11:24:59.930000|0.0332947
6972093859531881096|2021-06-10 11:25:00.930000|0.0257568
6972093863826848392|2021-06-10 11:25:01.930000|0.0289307
6972093868121815688|2021-06-10 11:25:02.930000|0.033905
6972093872416782984|2021-06-10 11:25:03.930000|0.0334167
6972093876711750280|2021-06-10 11:25:04.930000|0.0314026
6972093881006717576|2021-06-10 11:25:05.930000|0.031311
6972093885301684872|2021-06-10 11:25:06.930000|0.0301819
6972093889596652168|2021-06-10 11:25:07.930000|0.031311
6972093893891619464|2021-06-10 11:25:08.930000|0.0321655
6972093898186586760|2021-06-10 11:25:09.930000|0.0322266
6972093902481554056|2021-06-10 11:25:10.930000|0.03125
6972093906776521352|2021-06-10 11:25:11.930000|0.0372009
6972093911071488648|2021-06-10 11:25:12.930000|0.0281067
6972093915366455944|2021-06-10 11:25:13.930000|0.0411072
6972093919661423240|2021-06-10 11:25:14.930000|0.0386963
6972093923956390536|2021-06-10 11:25:15.930000|0.0402222
6972093928251357832|2021-06-10 11:25:16.930000|0.0343018
6972093932546325128|2021-06-10 11:25:17.930000|0.0350952
6972093936841292424|2021-06-10 11:25:18.930000|0.03479
6972093941136259720|2021-06-10 11:25:19.930000|0.0354004
6972093945431227016|2021-06-10 11:25:20.930000|0.0377502
6972093949726194312|2021-06-10 11:25:21.930000|0.0371704
6972093954021161608|2021-06-10 11:25:22.930000|0.0341797
6972093958316128904|2021-06-10 11:25:23.930000|0.033905
6972093962611096200|2021-06-10 11:25:24.930000|0.0463867
6972093966906063496|2021-06-10 11:25:25.930000|0.0367126
6972093971201030792|2021-06-10 11:25:26.930000|0.0381165
6972093975495998088|2021-06-10 11:25:27.930000|0.0363464
6972093979790965384|2021-06-10 11:25:28.930000|0.0365906
6972093984085932680|2021-06-10 11:25:29.930000|0.0380859
6972093988380899976|2021-06-10 11:25:30.930000|0.0393066
6972093992675867272|2021-06-10 11:25:31.930000|0.0367432
6972093996970834568|2021-06-10 11:25:32.930000|0.0340271
6972094001265801864|2021-06-10 11:25:33.930000|0.037323
6972094005560769160|2021-06-10 11:25:34.930000|0.0362549
6972094009855736456|2021-06-10 11:25:35.930000|0.0330505
6972094014150703752|2021-06-10 11:25:36.930000|0.0324402
6972094018445671048|2021-06-10 11:25:37.930000|0.0366211
6972094022740638344|2021-06-10 11:25:38.930000|0.0385132
6972094027035605640|2021-06-10 11:25:39.930000|0.0381775
6972094031330572936|2021-06-10 11:25:40.930000|0.0332336
6972094035625540232|2021-06-10 11:25:41.930000|0.036499
6972094039920507528|2021-06-10 11:25:42.930000|0.0395813
6972094044215474824|2021-06-10 11:25:43.930000|0.0402527
6972094048510442120|2021-06-10 11:25:44.930000|0.0386963
6972094052805409416|2021-06-10 11:25:45.930000|0.0389099
6972094057100376712|2021-06-10 11:25:46.930000|0.0421143
6972094061395344008|2021-06-10 11:25:47.930000|0.0362549
6972094065690311304|2021-06-10 11:25:48.930000|0.0384521
6972094069985278600|2021-06-10 11:25:49.930000|0.0389404
6972094074280245896|2021-06-10 11:25:50.930000|0.0336609
6972094078575213192|2021-06-10 11:25:51.930000|0.0343933
6972094082870180488|2021-06-10 11:25:52.930000|0.039856
6972094087165147784|2021-06-10 11:25:53.930000|0.0395508
6972094091460115080|2021-06-10 11:25:54.930000|0.0398865
6972094095755082376|2021-06-10 11:25:55.930000|0.0393066
6972094100050049672|2021-06-10 11:25:56.930000|0.0397644
6972094104345016968|2021-06-10 11:25:57.930000|0.0249023
6972094108639984264|2021-06-10 11:25:58.930000|0.0229187
6972094112934951560|2021-06-10 11:25:59.930000|0.0394897
6972094117229918856|2021-06-10 11:26:00.930000|0.0474854
6972094121524886152|2021-06-10 11:26:01.930000|0.0386353
6972094125819853448|2021-06-10 11:26:02.930000|0.0417786
6972094130114820744|2021-06-10 11:26:03.930000|0.0366821
6972094134409788040|2021-06-10 11:26:04.930000|0.0366211
6972094138704755336|2021-06-10 11:26:05.930000|0.0391235
6972094142999722632|2021-06-10 11:26:06.930000|0.0377197
6972094147294689928|2021-06-10 11:26:07.930000|0.0370483
6972094151589657224|2021-06-10 11:26:08.930000|0.0378113
6972094155884624520|2021-06-10 11:26:09.930000|0.036438
6972094160179591816|2021-06-10 11:26:10.930000|0.0370178
6972094164474559112|2021-06-10 11:26:11.930000|0.0364685
6972094168769526408|2021-06-10 11:26:12.930000|0.0331421
6972094173064493704|2021-06-10 11:26:13.930000|0.0322571
6972094177359461000|2021-06-10 11:26:14.930000|0.0363159
6972094181654428296|2021-06-10 11:26:15.930000|0.0378723
6972094185949395592|2021-06-10 11:26:16.930000|0.03479
6972094190244362888|2021-06-10 11:26:17.930000|0.0350342
6972094194539330184|2021-06-10 11:26:18.930000|0.0340271
6972094198834297480|2021-06-10 11:26:19.930000|0.0369263
6972094203129264776|2021-06-10 11:26:20.930000|0.0324402
6972094207424232072|2021-06-10 11:26:21.930000|0.0321045
6972094211719199368|2021-06-10 11:26:22.930000|0.0310364
6972094216014166664|2021-06-10 11:26:23.930000|0.0321655
6972094220309133960|2021-06-10 11:26:24.930000|0.0322571
6972094224604101256|2021-06-10 11:26:25.930000|0.0317383
6972094228899068552|2021-06-10 11:26:26.930000|0.0282593
6972094233194035848|2021-06-10 11:26:27.930000|0.0287476
6972094237489003144|2021-06-10 11:26:28.930000|0.0279541
6972094241783970440|2021-06-10 11:26:29.930000|0.0274963
6972094246078937736|2021-06-10 11:26:30.930000|0.0263367
6972094250373905032|2021-06-10 11:26:31.930000|0.026123
6972094254668872328|2021-06-10 11:26:32.930000|0.0247192
6972094258963839624|2021-06-10 11:26:33.930000|0.0245972
6972094263258806920|2021-06-10 11:26:34.930000|0.0233765
6972094267553774216|2021-06-10 11:26:35.930000|0.0226135
6972094271848741512|2021-06-10 11:26:36.930000|0.0195007
6972094276143708808|2021-06-10 11:26:37.930000|0.0184937
6972094280438676104|2021-06-10 11:26:38.930000|0.0234985
6972094284733643400|2021-06-10 11:26:39.930000|0.0193176
6972094289028610696|2021-06-10 11:26:40.930000|0.0147095
6972094293323577992|2021-06-10 11:26:41.930000|0.0118103
6972094297618545288|2021-06-10 11:26:42.930000|0.0136719
6972094301913512584|2021-06-10 11:26:43.930000|0.0141602
6972094306208479880|2021-06-10 11:26:44.930000|0.0119934
6972094310503447176|2021-06-10 11:26:45.930000|0.0137024
6972094314798414472|2021-06-10 11:26:46.930000|0.0174561
6972094319093381768|2021-06-10 11:26:47.930000|0.0162964
6972094323388349064|2021-06-10 11:26:48.930000|0.0169373
6972094327683316360|2021-06-10 11:26:49.930000|0.015625
6972094331978283656|2021-06-10 11:26:50.930000|0.0158997
6972094336273250952|2021-06-10 11:26:51.930000|0.0163879
6972094340568218248|2021-06-10 11:26:52.930000|0.0142822
6972094344863185544|2021-06-10 11:26:53.930000|0.0168762
