(time)	1 Max  (°C)
17:14:37.084	1652.74
17:14:37.104	1644.03
17:14:37.125	1631.46
17:14:37.144	1636.80
17:14:37.165	1639.85
17:14:37.184	1640.23
17:14:37.205	1648.58
17:14:37.224	1655.39
17:14:37.245	1652.74
17:14:37.264	1637.94
17:14:37.284	1632.61
17:14:37.305	1647.44
17:14:37.324	1646.30
17:14:37.345	1652.37
17:14:37.364	1650.85
17:14:37.385	1649.34
17:14:37.404	1649.34
17:14:37.424	1668.95
17:14:37.444	1689.15
17:14:37.464	1700.67
17:14:37.485	1691.02
17:14:37.504	1705.85
17:14:37.525	1713.61
17:14:37.544	1703.63
17:14:37.565	1718.39
17:14:37.584	1719.13
17:14:37.604	1697.33
17:14:37.625	1703.63
17:14:37.644	1700.30
17:14:37.665	1703.26
17:14:37.684	1715.45
17:14:37.705	1720.60
17:14:37.724	1715.45
17:14:37.745	1706.96
17:14:37.764	1706.22
17:14:37.784	1707.70
17:14:37.805	1716.18
17:14:37.824	1721.70
17:14:37.845	1720.96
17:14:37.864	1717.66
17:14:37.885	1723.17
17:14:37.904	1721.33
17:14:37.924	1710.66
17:14:37.944	1736.71
17:14:37.964	1767.51
17:14:37.985	1779.36
17:14:38.004	1790.43
17:14:38.025	1798.61
17:14:38.044	1801.80
17:14:38.065	1803.22
17:14:38.084	1781.50
17:14:38.104	1781.86
17:14:38.125	1778.64
17:14:38.144	1775.77
17:14:38.165	1776.13
17:14:38.184	1778.64
17:14:38.205	1778.28
17:14:38.224	1793.63
17:14:38.245	1799.32
17:14:38.264	1802.15
17:14:38.284	1804.63
17:14:38.305	1813.11
17:14:38.324	1813.47
17:14:38.345	1809.94
17:14:38.364	1809.23
17:14:38.385	1806.40
17:14:38.404	1800.74
17:14:38.424	1804.63
17:14:38.444	1833.47
17:14:38.464	1850.53
17:14:38.485	1860.90
17:14:38.504	1867.44
17:14:38.525	1871.91
17:14:38.544	1872.25
17:14:38.565	1871.91
17:14:38.584	1866.76
17:14:38.604	1868.48
17:14:38.625	1867.10
17:14:38.644	1873.63
17:14:38.665	1876.37
17:14:38.684	1879.45
17:14:38.705	1879.10
17:14:38.724	1877.05
17:14:38.745	1882.86
17:14:38.764	1879.10
17:14:38.784	1880.13
17:14:38.805	1869.16
17:14:38.824	1872.25
17:14:38.845	1869.85
17:14:38.864	1872.60
17:14:38.885	1872.94
17:14:38.904	1875.34
17:14:38.924	1869.16
17:14:38.944	1885.93
17:14:38.964	1886.96
17:14:38.985	1887.30
17:14:39.004	1886.96
17:14:39.025	1893.76
17:14:39.044	1892.74
17:14:39.065	1895.46
17:14:39.084	1894.44
17:14:39.104	1903.92
17:14:39.125	1910.33
17:14:39.144	1914.37
17:14:39.165	1912.69
17:14:39.184	1918.40
17:14:39.205	1916.39
17:14:39.224	1911.68
17:14:39.245	1902.57
17:14:39.264	1904.60
17:14:39.284	1906.96
17:14:39.305	1916.72
17:14:39.324	1920.75
17:14:39.345	1929.44
17:14:39.364	1927.44
17:14:39.385	1932.44
17:14:39.404	1932.11
17:14:39.424	1928.44
17:14:39.444	1926.44
17:14:39.464	1925.77
17:14:39.485	1920.08
17:14:39.504	1915.38
17:14:39.525	1916.05
17:14:39.544	1919.07
17:14:39.565	1916.72
17:14:39.584	1921.42
17:14:39.604	1920.75
17:14:39.625	1925.10
17:14:39.644	1927.44
17:14:39.665	1933.44
17:14:39.684	1936.77
17:14:39.705	1942.74
17:14:39.724	1944.73
17:14:39.745	1942.74
17:14:39.764	1931.44
17:14:39.784	1926.77
17:14:39.805	1923.09
17:14:39.824	1925.10
17:14:39.845	1924.10
17:14:39.864	1923.76
17:14:39.885	1920.41
17:14:39.904	1921.75
17:14:39.924	1924.10
17:14:39.944	1925.10
17:14:39.964	1928.11
17:14:39.985	1930.78
17:14:40.004	1927.11
17:14:40.025	1930.78
17:14:40.044	1933.78
17:14:40.065	1935.44
17:14:40.084	1939.10
17:14:40.104	1938.10
17:14:40.125	1934.44
17:14:40.144	1929.78
17:14:40.165	1926.10
17:14:40.184	1920.08
17:14:40.205	1915.04
17:14:40.224	1912.69
17:14:40.245	1917.73
17:14:40.264	1918.40
17:14:40.284	1927.44
17:14:40.305	1932.11
17:14:40.324	1933.44
17:14:40.345	1938.76
17:14:40.364	1941.42
17:14:40.385	1947.71
17:14:40.404	1949.03
17:14:40.424	1950.35
17:14:40.444	1952.00
17:14:40.464	1943.41
17:14:40.485	1932.78
17:14:40.504	1916.05
17:14:40.525	1908.31
17:14:40.544	1910.67
17:14:40.565	1917.39
17:14:40.584	1922.09
17:14:40.604	1919.07
17:14:40.625	1914.71
17:14:40.644	1909.32
17:14:40.665	1905.95
17:14:40.684	1897.49
17:14:40.705	1895.12
17:14:40.724	1892.74
17:14:40.745	1893.76
17:14:40.764	1887.98
17:14:40.784	1890.02
17:14:40.805	1890.70
17:14:40.824	1892.74
17:14:40.845	1886.27
17:14:40.864	1887.64
17:14:40.885	1888.66
17:14:40.904	1889.34
17:14:40.924	1885.25
17:14:40.944	1892.74
17:14:40.964	1897.49
17:14:40.985	1905.95
17:14:41.004	1910.67
17:14:41.025	1919.07
17:14:41.044	1918.06
17:14:41.065	1922.09
17:14:41.084	1917.39
17:14:41.104	1919.41
17:14:41.125	1912.69
17:14:41.144	1916.72
17:14:41.165	1921.42
17:14:41.184	1931.44
17:14:41.205	1927.77
17:14:41.224	1923.76
17:14:41.245	1916.72
17:14:41.264	1911.01
17:14:41.284	1906.29
17:14:41.305	1908.31
17:14:41.324	1903.92
17:14:41.345	1904.60
17:14:41.364	1900.88
17:14:41.385	1900.88
17:14:41.404	1902.23
17:14:41.424	1910.67
17:14:41.444	1919.07
17:14:41.464	1918.06
17:14:41.485	1912.69
17:14:41.504	1908.65
17:14:41.525	1907.97
17:14:41.544	1905.27
17:14:41.565	1901.22
17:14:41.584	1900.54
17:14:41.604	1906.29
17:14:41.625	1907.30
17:14:41.644	1904.93
17:14:41.665	1912.02
17:14:41.684	1913.02
17:14:41.705	1919.41
17:14:41.724	1923.76
17:14:41.745	1927.77
17:14:41.764	1934.11
17:14:41.784	1937.10
17:14:41.805	1942.74
17:14:41.824	1948.04
17:14:41.845	1947.05
17:14:41.864	1938.43
17:14:41.885	1929.11
17:14:41.904	1924.10
17:14:41.924	1916.05
17:14:41.944	1907.97
17:14:41.964	1911.01
17:14:41.985	1910.67
17:14:42.004	1912.35
17:14:42.025	1912.69
17:14:42.044	1913.70
17:14:42.065	1923.76
17:14:42.084	1928.11
17:14:42.104	1934.11
17:14:42.125	1935.77
17:14:42.144	1938.43
17:14:42.165	1937.10
17:14:42.184	1938.76
17:14:42.205	1935.44
17:14:42.224	1930.78
17:14:42.245	1927.44
17:14:42.264	1925.43
17:14:42.284	1929.44
17:14:42.305	1921.08
17:14:42.324	1924.77
17:14:42.345	1924.43
17:14:42.364	1929.11
17:14:42.385	1928.44
17:14:42.404	1928.11
17:14:42.424	1928.44
17:14:42.444	1926.44
17:14:42.464	1924.43
17:14:42.485	1917.39
17:14:42.504	1908.31
17:14:42.525	1900.88
17:14:42.544	1893.42
17:14:42.565	1880.13
17:14:42.584	1881.50
17:14:42.604	1879.10
17:14:42.625	1885.25
17:14:42.644	1885.59
17:14:42.665	1894.10
17:14:42.684	1887.30
17:14:42.705	1883.89
17:14:42.724	1872.94
17:14:42.745	1868.13
17:14:42.764	1861.59
17:14:42.784	1861.24
17:14:42.805	1863.66
17:14:42.824	1871.22
17:14:42.845	1879.45
17:14:42.864	1885.25
17:14:42.885	1883.89
17:14:42.904	1882.18
17:14:42.924	1883.20
17:14:42.944	1891.38
17:14:42.964	1889.68
17:14:42.985	1887.98
17:14:43.004	1889.34
